agency_cd	site_no	datetime	116035_00010_00001	116035_00010_00001_cd	116036_00010_00002	116036_00010_00002_cd	116037_00010_00003	116037_00010_00003_cd	116038_00095_00001	116038_00095_00001_cd	116039_00095_00002	116039_00095_00002_cd	116040_00095_00003	116040_00095_00003_cd	116041_00300_00001	116041_00300_00001_cd	116042_00300_00002	116042_00300_00002_cd	116043_00300_00003	116043_00300_00003_cd	116044_00400_00001	116044_00400_00001_cd	116045_00400_00002	116045_00400_00002_cd	116046_00400_00008	116046_00400_00008_cd	216428_63680_00002	216428_63680_00002_cd	216429_63680_00001	216429_63680_00001_cd	216430_63680_00008	216430_63680_00008_cd	216748_62361_00003	216748_62361_00003_cd	216749_62361_00001	216749_62361_00001_cd	216750_62361_00002	216750_62361_00002_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	452053119323001	2015-05-14	17.4	A	15.0	A	16.0	A	212	A	211	A	211	A	11.4	A	10.6	A	11.0	A	9.0	A	9.0	A	9.0	A	1.6	A	38.7	A	7.3	A	6.0	A	13.3	A	3.2	A
USGS	452053119323001	2015-05-15	16.4	A	15.1	A	15.9	A	212	A	212	A	212	A	11.3	A	10.5	A	11.0	A	9.0	A	8.9	A	9.0	A	1.7	A	14.6	A	4.8	A	5.4	A	9.9	A	3.3	A
USGS	452053119323001	2015-05-16	15.8	A	15.2	A	15.5	A	213	A	212	A	213	A	10.6	A	10.5	A	10.6	A	9.0	A	8.9	A	8.9	A	1.7	A	4.9	A	3.1	A	4.2	A	6.7	A	2.6	A
USGS	452053119323001	2015-05-17	17.5	A	15.4	A	16.2	A	213	A	212	A	213	A	11.9	A	10.4	A	11.0	A	9.1	A	8.9	A	9.0	A	2.0	A	21.2	A	5.8	A	7.2	A	20.4	A	3.2	A
USGS	452053119323001	2015-05-18	17.8	A	15.5	A	16.9	A	214	A	212	A	213	A	12.3	A	10.2	A	11.5	A	9.1	A	8.9	A	9.1	A	1.0	A	52.4	A	14.5	A	12.2	A	39.6	A	3.5	A
USGS	452053119323001	2015-05-19	17.7	A	16.6	A	17.3	A	214	A	213	A	213	A	11.6	A	10.9	A	11.2	A	9.1	A	9.0	A	9.1	A	1.0	A	46.2	A	7.0	A	9.4	A	19.4	A	3.5	A
USGS	452053119323001	2015-05-20	17.9	A	17.3	A	17.5	A	214	A	213	A	214	A	11.5	A	11.0	A	11.3	A	9.1	A	9.0	A	9.1	A	3.3	A	31.3	A	8.3	A	9.7	A	16.4	A	4.0	A
USGS	452053119323001	2015-05-21	19.3	A	17.3	A	18.0	A	214	A	214	A	214	A	11.4	A	10.5	A	10.9	A	9.1	A	9.0	A	9.0	A	3.2	A	15.5	A	8.0	A	11.3	A	18.5	A	5.2	A
USGS	452053119323001	2015-05-22	18.1	A	17.4	A	17.8	A	216	A	214	A	215	A	10.7	A	10.3	A	10.5	A	9.0	A	9.0	A	9.0	A	2.0	A	15.7	A	5.4	A	11.1	A	26.4	A	6.3	A
USGS	452053119323001	2015-05-23	18.2	A	17.4	A	17.8	A	216	A	215	A	215	A	11.0	A	10.1	A	10.4	A	9.1	A	9.0	A	9.0	A	2.1	A	5.2	A	3.2	A	8.0	A	21.8	A	3.8	A
USGS	452053119323001	2015-05-24	19.4	A	17.8	A	18.4	A	217	A	215	A	216	A	10.8	A	10.3	A	10.5	A	9.0	A	9.0	A	9.0	A	1.6	A	5.1	A	2.4	A	6.0	A	9.6	A	2.4	A
USGS	452053119323001	2015-05-25	19.1	A	18.1	A	18.5	A	218	A	216	A	217	A	10.3	A	10.0	A	10.1	A	9.0	A	9.0	A	9.0	A	1.5	A	2.6	A	1.8	A	4.2	A	8.3	A	1.9	A
USGS	452053119323001	2015-05-26	20.3	A	18.3	A	18.9	A	219	A	217	A	218	A	10.5	A	9.8	A	10.1	A	9.0	A	9.0	A	9.0	A	1.1	A	7.6	A	1.7	A	4.8	A	17.9	A	2.1	A
USGS	452053119323001	2015-05-27	20.0	A	19.1	A	19.5	A	219	A	218	A	219	A	10.3	A	9.9	A	10.1	A	9.0	A	9.0	A	9.0	A	0.8	A	4.8	A	1.2	A	4.1	A	7.2	A	2.3	A
USGS	452053119323001	2015-05-28	21.9	A	19.3	A	20.4	A	220	A	219	A	220	A	10.1	A	9.6	A	9.9	A	9.0	A	8.9	A	9.0	A	0.6	A	1.2	A	0.8	A	3.4	A	9.7	A	1.3	A
USGS	452053119323001	2015-05-29	22.7	A	20.7	A	21.3	A	221	A	220	A	220	A	9.6	A	9.3	A	9.5	A	9.0	A	8.9	A	8.9	A	0.6	A	1.8	A	0.9	A	2.6	A	4.0	A	1.3	A
USGS	452053119323001	2015-05-30	22.3	A	20.8	A	21.3	A	221	A	220	A	220	A	9.8	A	9.2	A	9.4	A	9.0	A	8.9	A	8.9	A	0.5	A	2.6	A	0.7	A	2.9	A	6.2	A	1.5	A
USGS	452053119323001	2015-05-31	22.4	A	20.4	A	21.3	A	222	A	221	A	221	A	9.7	A	9.2	A	9.4	A	8.9	A	8.9	A	8.9	A	0.5	A	2.9	A	0.6	A	3.9	A	11.4	A	1.7	A
USGS	452053119323001	2015-06-01	21.3	A	20.1	A	20.9	A	224	A	221	A	222	A	9.7	A	9.1	A	9.3	A	8.9	A	8.9	A	8.9	A	0.5	A	1.1	A	0.7	A	3.8	A	12.8	A	1.8	A
USGS	452053119323001	2015-06-02	20.8	A	20.0	A	20.4	A	223	A	223	A	223	A	9.3	A	9.0	A	9.1	A	8.9	A	8.9	A	8.9	A	0.5	A	2.0	A	0.7	A	3.8	A	6.0	A	2.3	A
USGS	452053119323001	2015-06-03	20.3	A	19.7	A	20.0	A	224	A	223	A	223	A	9.3	A	9.0	A	9.2	A	8.9	A	8.9	A	8.9	A	0.6	A	2.7	A	0.7	A	4.5	A	7.5	A	2.6	A
USGS	452053119323001	2015-06-04	20.2	A	19.5	A	19.9	A	224	A	223	A	224	A	9.7	A	9.0	A	9.3	A	8.9	A	8.9	A	8.9	A	0.6	A	2.7	A	0.7	A	5.8	A	13.1	A	2.6	A
USGS	452053119323001	2015-06-05	21.0	A	19.8	A	20.4	A	225	A	224	A	224	A	9.6	A	9.2	A	9.4	A	8.9	A	8.9	A	8.9	A	0.5	A	1.3	A	0.7	A	7.1	A	13.4	A	0.5	A
USGS	452053119323001	2015-06-06	21.9	A	20.4	A	21.0	A	225	A	224	A	225	A	10.2	A	9.3	A	9.6	A	9.0	A	8.9	A	8.9	A	0.6	A	2.0	A	0.8	A	7.2	A	12.7	A	0.5	A
USGS	452053119323001	2015-06-07	23.8	A	21.2	A	22.3	A	227	A	225	A	226	A	10.2	A	9.5	A	9.7	A	9.0	A	8.9	A	8.9	A	0.5	A	0.9	A	0.7	A	6.9	A	18.1	A	2.8	A
USGS	452053119323001	2015-06-08	24.3	A	22.5	A	23.3	A	228	A	226	A	226	A	10.1	A	9.3	A	9.6	A	9.0	A	8.9	A	8.9	A	0.6	A	3.7	A	0.6	A	5.0	A	17.8	A	1.6	A
USGS	452053119323001	2015-06-09	24.1	A	22.9	A	23.5	A	228	A	227	A	228	A	10.0	A	9.1	A	9.5	A	9.0	A	8.9	A	8.9	A	0.4	A	0.8	A	0.6	A	3.2	A	6.9	A	1.8	A
USGS	452053119323001	2015-06-10	23.2	A	22.4	A	22.7	A	229	A	228	A	228	A	9.9	A	9.3	A	9.5	A	9.0	A	9.0	A	9.0	A	0.4	A	1.2	A	0.5	A	2.3	A	4.6	A	1.8	A
USGS	452053119323001	2015-06-11	23.2	A	22.0	A	22.5	A	230	A	228	A	229	A	9.6	A	9.3	A	9.4	A	9.0	A	9.0	A	9.0	A	0.5	A	0.8	A	0.6	A	2.3	A	4.6	A	1.5	A
USGS	452053119323001	2015-06-12	22.4	A	21.7	A	22.1	A	231	A	230	A	230	A	9.4	A	8.9	A	9.2	A	9.0	A	9.0	A	9.0	A	0.5	A	0.9	A	0.7	A	2.2	A	8.5	A	1.3	A
USGS	452053119323001	2015-06-13	22.3	A	21.3	A	21.6	A	231	A	229	A	230	A	9.5	A	9.0	A	9.1	A	9.0	A	9.0	A	9.0	A	0.6	A	6.1	A	0.8	A	2.0	A	3.8	A	1.2	A
USGS	452053119323001	2015-06-14	22.6	A	21.2	A	21.9	A	231	A	230	A	231	A	9.1	A	8.9	A	9.0	A	9.0	A	9.0	A	9.0	A	0.5	A	1.0	A	0.7	A	1.5	A	2.7	A	1.0	A
USGS	452053119323001	2015-06-15	22.0	A	21.4	A	21.7	A	232	A	231	A	231	A	9.1	A	8.8	A	9.0	A	9.0	A	8.9	A	9.0	A	0.6	A	1.1	A	0.8	A	1.5	A	2.7	A	0.7	A
USGS	452053119323001	2015-06-16	23.0	A	21.2	A	21.8	A	235	A	232	A	232	A	9.2	A	8.8	A	9.0	A	9.0	A	8.9	A	8.9	A	0.5	A	1.0	A	0.7	A	1.5	A	2.8	A	0.9	A
USGS	452053119323001	2015-06-17	22.3	A	21.7	A	22.0	A	234	A	233	A	233	A	9.1	A	8.9	A	9.0	A	9.0	A	8.9	A	8.9	A	0.6	A	1.4	A	0.8	A	1.7	A	2.8	A	1.2	A
USGS	452053119323001	2015-06-18	22.1	A	21.5	A	21.8	A	234	A	233	A	233	A	9.0	A	8.8	A	8.9	A	9.0	A	8.9	A	8.9	A	0.8	A	2.5	A	0.9	A	2.0	A	2.7	A	1.5	A
USGS	452053119323001	2015-06-19	21.8	A	21.3	A	21.5	A	234	A	233	A	234	A	8.9	A	8.7	A	8.8	A	8.9	A	8.9	A	8.9	A	0.8	A	2.6	A	1.1	A	2.0	A	3.0	A	1.6	A
USGS	452053119323001	2015-06-20	22.0	A	21.1	A	21.5	A	235	A	234	A	235	A	9.0	A	8.6	A	8.8	A	8.9	A	8.9	A	8.9	A	0.8	A	2.0	A	0.9	A	2.0	A	4.7	A	1.2	A
USGS	452053119323001	2015-06-21	22.2	A	21.6	A	21.8	A	236	A	235	A	235	A	9.0	A	8.6	A	8.8	A	8.9	A	8.9	A	8.9	A	0.7	A	2.2	A	0.9	A	1.9	A	3.0	A	1.2	A
USGS	452053119323001	2015-06-22	22.1	A	21.4	A	21.7	A	236	A	235	A	236	A	9.2	A	8.8	A	9.0	A	8.9	A	8.9	A	8.9	A	0.7	A	1.1	A	0.9	A	2.1	A	3.3	A	1.4	A
USGS	452053119323001	2015-06-23	22.4	A	21.4	A	21.8	A	236	A	235	A	235	A	9.2	A	8.8	A	9.0	A	8.9	A	8.9	A	8.9	A	0.7	A	3.7	A	0.9	A	2.1	A	2.9	A	1.3	A
USGS	452053119323001	2015-06-24	22.3	A	21.8	A	22.0	A	237	A	236	A	236	A	9.1	A	8.9	A	9.0	A	8.9	A	8.9	A	8.9	A	0.8	A	3.6	A	1.0	A	2.9	A	4.1	A	2.0	A
USGS	452053119323001	2015-06-25	23.3	A	21.8	A	22.3	A	238	A	236	A	237	A	9.3	A	8.8	A	9.0	A	8.9	A	8.9	A	8.9	A	0.8	A	1.3	A	1.0	A	3.0	A	4.4	A	2.1	A
USGS	452053119323001	2015-06-26	25.5	A	22.8	A	23.8	A	240	A	238	A	239	A	9.2	A	8.8	A	9.0	A	8.9	A	8.9	A	8.9	A	0.7	A	3.1	A	0.8	A	3.0	A	7.9	A	2.0	A
USGS	452053119323001	2015-06-27	24.6	A	23.0	A	24.1	A	239	A	236	A	238	A	9.6	A	8.6	A	9.0	A	9.0	A	8.9	A	8.9	A	0.6	A	2.1	A	0.9	A	3.3	A	5.5	A	2.1	A
USGS	452053119323001	2015-06-28	24.8	A	23.7	A	24.2	A	239	A	238	A	238	A	9.0	A	8.6	A	8.8	A	8.9	A	8.9	A	8.9	A	0.8	A	1.5	A	0.9	A	3.4	A	4.4	A	2.6	A
USGS	452053119323001	2015-06-29	24.8	A	23.9	A	24.2	A	239	A	238	A	239	A	9.0	A	8.5	A	8.8	A	8.9	A	8.9	A	8.9	A	0.8	A	1.2	A	0.9	A	3.4	A	4.8	A	2.5	A
USGS	452053119323001	2015-06-30	25.4	A	24.1	A	24.8	A	240	A	239	A	239	A	9.1	A	8.6	A	8.9	A	8.9	A	8.9	A	8.9	A	0.6	A	1.1	A	0.8	A	3.1	A	4.8	A	1.8	A
USGS	452053119323001	2015-07-01	26.2	A	24.8	A	25.4	A	240	A	239	A	240	A	9.4	A	8.7	A	8.9	A	8.9	A	8.9	A	8.9	A	0.8	A	1.3	A	0.9	A	3.1	A	5.2	A	2.0	A
USGS	452053119323001	2015-07-02	26.6	A	25.2	A	25.8	A	240	A	239	A	239	A	9.4	A	8.6	A	8.9	A	8.9	A	8.9	A	8.9	A	0.8	A	1.2	A	0.9	A	3.1	A	5.2	A	2.0	A
USGS	452053119323001	2015-07-03	26.2	A	25.4	A	25.8	A	240	A	239	A	240	A	9.3	A	8.7	A	9.0	A	8.9	A	8.9	A	8.9	A	0.8	A	2.4	A	1.0	A	3.7	A	4.8	A	2.8	A
USGS	452053119323001	2015-07-04	26.0	A	25.2	A	25.6	A	240	A	240	A	240	A	9.1	A	8.8	A	8.9	A	8.9	A	8.9	A	8.9	A	0.9	A	1.4	A	1.0	A	4.1	A	6.3	A	3.0	A
USGS	452053119323001	2015-07-05	25.8	A	25.1	A	25.5	A	241	A	240	A	240	A	9.3	A	8.7	A	8.9	A	8.9	A	8.9	A	8.9	A	1.0	A	1.4	A	1.1	A	4.2	A	6.1	A	3.1	A
USGS	452053119323001	2015-07-06	26.3	A	25.2	A	25.5	A	241	A	239	A	240	A	9.1	A	8.7	A	8.9	A	8.9	A	8.9	A	8.9	A	1.0	A	1.6	A	1.2	A	3.6	A	5.0	A	2.5	A
USGS	452053119323001	2015-07-07	26.1	A	25.3	A	25.6	A	240	A	240	A	240	A	9.0	A	8.6	A	8.8	A	8.9	A	8.9	A	8.9	A	1.1	A	1.6	A	1.2	A	3.3	A	4.6	A	2.0	A
USGS	452053119323001	2015-07-08	26.4	A	25.0	A	25.6	A	241	A	240	A	240	A	9.0	A	8.5	A	8.7	A	9.0	A	8.9	A	8.9	A	1.0	A	2.0	A	1.2	A	2.9	A	4.7	A	2.0	A
USGS	452053119323001	2015-07-09	26.2	A	25.4	A	25.7	A	241	A	240	A	241	A	8.6	A	8.4	A	8.5	A	8.9	A	8.9	A	8.9	A	0.9	A	2.2	A	1.2	A	3.6	A	5.7	A	2.1	A
USGS	452053119323001	2015-07-10	25.6	A	25.1	A	25.4	A	241	A	240	A	240	A	8.6	A	8.3	A	8.5	A	8.9	A	8.9	A	8.9	A	1.0	A	1.6	A	1.4	A	4.8	A	8.9	A	2.6	A
USGS	452053119323001	2015-07-11	25.4	A	24.5	A	24.8	A	240	A	240	A	240	A	8.5	A	8.1	A	8.3	A	8.9	A	8.9	A	8.9	A	1.1	A	4.0	A	1.4	A	5.2	A	8.6	A	3.0	A
USGS	452053119323001	2015-07-12	24.8	A	24.1	A	24.4	A	240	A	240	A	240	A	8.4	A	7.9	A	8.2	A	8.9	A	8.9	A	8.9	A	1.1	A	1.9	A	1.4	A	4.3	A	8.0	A	2.6	A
USGS	452053119323001	2015-07-13	25.2	A	23.9	A	24.3	A	241	A	240	A	240	A	8.4	A	8.0	A	8.2	A	8.9	A	8.9	A	8.9	A	1.0	A	1.4	A	1.1	A	3.8	A	7.7	A	2.4	A
USGS	452053119323001	2015-07-14	24.7	A	23.7	A	24.1	A	241	A	239	A	240	A	8.5	A	8.0	A	8.3	A	8.9	A	8.9	A	8.9	A	1.0	A	1.7	A	1.3	A	3.8	A	5.5	A	2.1	A
